,Category,Channel Id,Channel Title,Comments Count,Dislikes Count,Duration,Likes Count,Published Day,Published Month,Published Time,Published Week,Tags,Video Description,Video Id,Video Title,Views
0,27,UCOJu_EY7ZcH_luc8zxA_9Ug,FrEiVoN,84,2,176.0,407,2019-04-10,2019-04,Wed 06,2019-04 14,"['afd', 'bundestag', 'migration', 'freivon', 'petition', 'buntland', 'multikulti', 'migrationspakt', 'cdu', 'wahl', 'pc', 'polititical', 'correctness', 'politische', 'korrektheit', 'asyl', 'angriff', 'neomarxismus', 'marxismus', 'buntland', 'eu']","Kommentar zur Verbindlichkeit des Migrationspakts.
Wer mich unterstützen möchte, kann das über PayPal tun: FrEiVoN.MSMedia@online.de
Links
https://www.freiewelt.net/nachricht/der-globale-migrationspakt-soll-zu-geltendem-eu-recht-werden-10077475/

#Migrationspakt #EU",9X_9GJk8Q7E,Migrationspakt GCM soll verbindlich werden * EU Hintertürchen,1654
1,25,UCRdEdkAlZetdf74bYaBRv3g,FPÖ TV,58,15,78.0,286,2019-03-21,2019-03,Thu 17,2019-03 11,"['fpö', 'fpötv', 'fpoe', 'fpoetv', 'hc', 'strache', 'hc strache', 'migartionspakt', 'unmigrationspakt', 'verbindlich', 'rechtverbindlich', 'harald vilimsky', 'vilimsky', 'euwahl', 'euwahl 2019', 'wahlkampf', 'eu kommission', 'kommission', 'hintertür', 'migration', 'einwanderung', 'asyl', 'recht', 'vertrag', 'ablehnung', 'nein', 'politik', 'österreich', 'außenministerium', 'karin kneissl', 'außenministerin', 'vizekanzler']","Als hätten wir es nicht schon geahnt: Die Europäische Kommission versucht den angeblich rechtsunverbindlichen Migrationspakt durch die Hintertüre nun doch verbindlich zu machen. 
Wir sagen dazu ganz klar: NICHT MIT UNS! 

Mehr dazu: https://bit.ly/2W95Lg8",RcHekLUOezM,Kein UN-Migrationspakt durch die Hintertür!,2014
2,25,UCZ8uFo1RKSgEg-od3Yu10Pw,Martin Sellner,492,34,529.0,4109,2019-03-12,2019-03,Tue 12,2019-03 10,"['identitär', 'bewegung', 'sellner', 'martin', 'ausländer', 'deutschland', 'österreich', 'europa', 'multikulti', 'asyl', 'zahlen', 'islamisierung', 'minderheit', 'großer austausch', 'fpö', 'afd', 'strache', 'höcke', 'flüchtlinge', 'woher']","Seid bei der kommenden Kampagne dabei und tragt euch jetzt schon im Telegramkanal und der email-liste ein:

✉️ Kampagenen-Email:
https://bit.ly/2VSiKCP

📣 Kampagnen-Telegram:
https://t.me/migrationspaktstoppen

+++++++++++++

👉 Ein Abo freut mich: https://goo.gl/pci6fz

👉 Mein Rundbrief wartet: https://goo.gl/yysbY8

👉 Komm zur Telegramelite:  https://t.me/martinsellnerIB

+++++++++++

Wer diese Videos mag und will, dass sie weiter erscheinen, kann den Kanal hier unterstützen. Vielen Dank dafür!

http://martin-sellner.at/unterstuetzen-2/


Bitcoin:
37jMimbrHcuMB1S3TKhZJGzm5M9SAccCxQ

Martin Sellner
IBAN: HU85117753795858688200000000
BIC: OTPVHUHB

+Mein Postfach:
Martin Sellner
Fach 23
1182 Wien

++++++++++++

Quellen:
https://www.unzensuriert.at/comment/252199
https://derstandard.at/2000099343608/Bereits-mehr-als-2-300-Verfahren-wegen-Verhetzung-und-Wiederbetaetigung
https://www.unzensuriert.at/content/0029186-EU-Kommission-dementiert-Plan-zur-EU-weiten-Durchsetzung-des-UN-Migrationspaktes
https://www.heute.at/oesterreich/niederoesterreich/story/Haft--Rentner-nannte-alle-Asylwerber-Vergewaltiger-40211308
https://www.hirado.hu/kulfold/kulpolitika/cikk/2019/03/09/honapokon-at-hazudott-brusszel-az-ensz-migracios-csomagjarol",rnlwvGKI2GI,EU-Imperium will den Migrationspakt für alle!,35988
3,22,UCq6VrE-vSGxFpQRIXHbwE5w,Abc123 Xoxo4,10,0,372.0,9,2019-03-08,2019-03,Fri 19,2019-03 09,"['migrationspakt', 'regierung', 'deutschland', 'privatisierung', 'enteignung', 'vorkaufsrecht']","Quellen:  

https://www.rbb24.de/politik/beitrag/2018/12/vorkaufsrecht-berlin-senat-bezirke-.html

https://kommunal.de/stra%C3%9Fenausbaubeitraege-in-nrw-abschaffen

https://dejure.org/gesetze/BauGB/24.html

https://youtu.be/hM8sEvTqs0w

Warnung an alle Bürger :
https://youtu.be/6yBYQbjp9kg

https://youtu.be/KRqPkksJ4jA

https://youtu.be/z9HFbRLfkKM

#OpGermany #FTS",L2f8FOcoYUM,Anonymous ~ Bürger = Bürge ~ Migrationspakt ~ Vorkaufsrecht ~,127
4,29,UCc666KBv02UUQc3D_ysZNgQ,SommerFilms,1,0,793.0,13,2019-02-26,2019-02,Tue 09,2019-02 08,"['rebecca sommer', 'un', 'united nations', 'asyl', 'absichten und folgen der unmigrations und flüchtlingsabkommen für deutschland und europa', 'gam ev', 'ag fm', 'initiative an der basis', 'basisgruppe', 'hartmut krauss', 'majd abboud', 'rebeccasommer', 'rebecca sommer filmemacherin', 'rebecca sommer menschenrechte', 'gesellschaftliche entwicklung', 'islam', 'scharia', 'migration', 'asylpolitik', 'islamkritik', 'flüchtling', 'europa', 'deutschland', 'völkerrecht', 'replacement migration', 'un migrationspakt']","(Video © Sommerfilms, von Rebecca Sommer) 
Auszug aus dem einstündigen Vortrag von Hartmut Krauss von der Initiative an der Basis zum UN MIgrationspakt.

1.12.2018: Tagesseminar der ""Initiative an der Basis"" und der AG F+M, in Zusammenarbeit mit der „Gesellschaft für wissenschaftliche Aufklärung und Menschenrechte (GAM) e.V.“ am 1. Dezember 2018 in Berlin-Köpenick.

Thema:
Auf dem Prüfstand:
""Absichten und Folgen der UN-Migrations- und Flüchtlingsabkommen für Deutschland und Europa""

Auf der Gipfelkonferenz für Flüchtlinge und Migranten am 19. September 2016 hatten die 193 Mitgliedsstaaten der Vereinten Nationen (UN) in ihrer New Yorker Erklärung die Erarbeitung zweier Rahmenabkommen beschlossen: Zum einen den „Globalen Pakt zu Flüchtlingen“ (Global Compact on Refugees) und zum anderen den „Globalen Pakt zu sicherer, geordneter und regulärer Migration“ (Global Compact for Safe, Orderly and Regular Migration).
Auf der Generalversammlung der Vereinten Nationen am 11. und 12. Dezember 2018 in Marrakesch (Marokko) soll nun der letztgenannte „Globale Pakt für eine sichere, geordnete und reguläre Migration“ verabschiedet werden. Bereits im Januar 2018 hatte das UN-Flüchtlingswerk (UNHCR) einen ersten Entwurf für den Flüchtlingspakt vorgelegt.
Welche Auswirkungen haben nun diese verstärkt in die Anwendungs- und Umsetzungsphase gelangenden migrations- und flüchtlingspolitischen Abkommen und Regelwerke für Europa und Deutschland? Was sind deren Hintergründe? Warum wurde die Öffentlichkeit über diese für die zukünftige gesellschaftliche Entwicklung so wesentlichen Pläne so gut wie nicht informiert? Handelt es sich hierbei angesichts der vorliegenden Erfahrungen mit den Folgen der irregulären Massenimmigration der letzten Jahre um eine bewusste Vorenthaltung zwecks Blockierung einer gesellschaftlichen Debatte?
Diese und weitere Fragen werden im Zentrum der Veranstaltung stehen.

Referenten

Hartmut Krauss ( Sozialwissenschaftlicher Buchautor, Vorsitzender der GAM e.V.)
Rebecca Sommer (ehem. Zivilbevölkerungvertreterin „Menschenrecht-Völkerrecht“ im ber. Status zu den Vereinten Nationen, Vorsitzende der AG Flucht+Menschenrechte)
Majd Abboud (Zahnarzt aus Syrien)
Prof. Dr. Günter Buchholz (Ökonom und emeritierter Professor für Allgemeine BWL und Consulting an der FH Hannover)

----------

Vortrag von Hartmut Krauss in voller Länge hier:
http://www.gam-online.de/text-transferpolitikt.html

Vortrag von Rebecca Sommer zum Migrations-und Flüchtlingspakt hier:
https://www.tichyseinblick.de/gastbeitrag/ausfuehrungen-zur-annahme-des-migrations-und-fluechtlingspaktes-in-marrakesch/",2ZQjcOnBMMU,INITIATIVE AN DER BASIS: Tagesseminar zum UN Migrationspakt - HARTMUT KRAUSS,410
5,25,UCdQ3tHuZSA5IJzhLnyBMySg,Parteienallianz 2,3,0,253.0,23,2019-02-15,2019-02,Fri 12,2019-02 06,"['migrationspolitik', 'flüchtlingspolitik', 'migration', 'armut', 'reichtum', 'gesellschaft', 'asien', 'afrika', 'amerika', 'lateinamerika', 'europa', 'menschen', 'wirtschaft', 'sklaven', 'angela merkel', 'gutmenschen', 'george soros']",Besuchen Sie auch unseren Presseblog http://staseve.eu,9jdwwCKLu_s,Warum der Migrationspakt und die Migrationspolitik die Welt nicht retten können,154
6,1,UCSuN2_Y9JV1ha0tRNHuHkqQ,Political Channel,69,6,998.0,755,2019-02-13,2019-02,Wed 19,2019-02 06,[],"►  Mein eBook für nur 7,99€: https://www.bod.de/buchshop/gesellschaft-am-abgrund-marc-gardemann-9783752874198
►  Ausweichkanal: https://www.youtube.com/channel/UCr_iZYjSNU2QEjMVJ0-K8NA
►  Facebook-Seite: https://www.facebook.com/Political-Channel-734810966712783/
►  Meine Homepage: https://www.marcgardemann.com/

Unterstütze freien Journalismus: 
Name: Marc Gardemann 
IBAN: DE52 3905 0000 1070 1587 44 
BIC: AACSDE33XXX 
Bank: Sparkasse Aachen 
Verwendungszweck: Freiwillige Zuwendung 

Oder via PayPal: https://www.paypal.me/MarcGardemann",QXXRPwOA-ww,"Vera Lengsfeld & Migrationspakt, Politiker, ARD & GEZ - Videos der 2. Januarwoche",8219
7,25,UC_m7nPGsTN0BwvKKbTilV_w,Aktionsgruppe Nord Ost,0,0,4559.0,8,2019-02-11,2019-02,Mon 12,2019-02 06,"['aktionnordost', 'enirco komning', 'migrationspakt', 'wirsindnochmehr']",Der Bundestagsabgeordnete Enrico Komning (AfD) hielt am 13.11.2018 in Stralsund einen Vortrag zum Migrationspakt. Als Anwalt beleuchtete er die rechtliche Aspekte. Der Inhalt ist nach wie vor aktuell.,cFTGQR7KDpo,Enrico Komning Migrationspakt Stralsund 13 11 2018,62
8,22,UCEjKrsOmNnLNukJOzf6KA7Q,Pingui Cula,1,0,148.0,1,2019-02-09,2019-02,Sat 09,2019-02 05,[],"WEG MIT DER GEZ !
Quelle : Epoch Times Deutsch",YTdsQGekWnM,Das ZDF setzt den Migrationspakt um  indem es das Publikum täuscht,10
9,25,UCEfmPtw1Ao78G_i0udDpOdA,Gerry Michel,0,0,4577.0,2,2019-02-05,2019-02,Tue 08,2019-02 05,"['bürger für bürger', 'unomigrationspakt', 'migrationspakt', 'ruth frei']","Ruth Frei erläutert in ihrem Vortrag die Hintergründe zum UNO-Migrationspakt.
1. Dr. Markus Erb - Was ist der UNO-Migrationspakt?
2. Ruth Frei - Hintergründe zum UNO-Migrationspakt",qeTiN_NEqM8,Bürger für Bürger - UNO-Migrationspakt - Ruth Frei,18
